offset -2.494000f, -0.011000f, -0.133000f,
offset -0.033000f, -0.011000f, 0.088000f,
offset 2.738000f, -0.011000f, 0.155000f,
offset -0.011000f, -0.011000f, 2.721000f,
offset 0.011000f, 0.477000f, 0.265000f,
offset 0.011000f, 0.255000f, -0.613000f,
offset 0.022000f, 0.259000f, 1.129000f,
offset -5.000000f, -0.022000f, 2.699000f,
offset -5.088000f, 0.000000f, 3.015000f,
offset -5.681000f, 0.000000f, 2.585000f,
offset -5.573000f, 0.000000f, 2.719000f,
offset 5.358000f, 0.000000f, 3.015000f,
offset 5.573000f, 0.000000f, 2.504000f,
offset 5.465000f, 0.000000f, 2.800000f,
offset 0.000000f, -0.027000f, 0.000000f,
offset 0.000000f, 0.000000f, 0.000000f,
scale 0.377000f, 0.111000f, 3.861000f,
scale 0.388000f, 0.111000f, 2.301000f,
scale 0.388000f, 0.111000f, 3.617000f,
scale 5.000000f, 0.111000f, 0.343000f,
scale 0.200000f, 0.055000f, 0.929000f,
scale 0.148000f, 0.259000f, 0.066000f,
scale 0.140000f, 0.259000f, 0.065000f,
scale 0.420000f, 0.129000f, 0.355000f,
scale 1.000000f, 0.104000f, 0.046000f,
scale 0.046000f, 0.104000f, 0.623000f,
scale 0.185000f, 0.104000f, 0.300000f,
scale 0.773000f, 0.104000f, 0.046000f,
scale 0.058000f, 0.104000f, 0.715000f,
scale 0.323000f, 0.104000f, 0.173000f,
scale 1.000000f, 1.000000f, 1.000000f,
scale 1.000000f, 1.000000f, 1.000000f,
rotation 0.000000f, 135.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 225.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 135.692001f, 0.000000f,
rotation 0.000000f, 135.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 225.692001f, 0.000000f,
rotation 0.000000f, 171.692001f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
